Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Santiago-EOAS";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"01/05/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"01/05/2023";"Temperatura media  atura a 1.5m";"16.57";"1";"ºC"
"02/05/2023";"Lluvia";"0.0";"1";"L/m2"
"02/05/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"02/05/2023";"Temperatura media  atura a 1.5m";"19.78";"1";"ºC"
"03/05/2023";"Lluvia";"4.3";"1";"L/m2"
"03/05/2023";"Humedad relativa media a 1.5m";"73";"1";"%"
"03/05/2023";"Temperatura media  atura a 1.5m";"17.20";"1";"ºC"
"04/05/2023";"Lluvia";"34.4";"1";"L/m2"
"04/05/2023";"Humedad relativa media a 1.5m";"88";"1";"%"
"04/05/2023";"Temperatura media  atura a 1.5m";"14.74";"1";"ºC"
"05/05/2023";"Lluvia";"3.1";"1";"L/m2"
"05/05/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"05/05/2023";"Temperatura media  atura a 1.5m";"15.21";"1";"ºC"
"06/05/2023";"Lluvia";"4.2";"1";"L/m2"
"06/05/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"06/05/2023";"Temperatura media  atura a 1.5m";"15.54";"1";"ºC"
"07/05/2023";"Lluvia";"0.0";"1";"L/m2"
"07/05/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"07/05/2023";"Temperatura media  atura a 1.5m";"16.32";"1";"ºC"
"08/05/2023";"Lluvia";"0.3";"1";"L/m2"
"08/05/2023";"Humedad relativa media a 1.5m";"86";"1";"%"
"08/05/2023";"Temperatura media  atura a 1.5m";"15.76";"1";"ºC"
"09/05/2023";"Lluvia";"1.3";"1";"L/m2"
"09/05/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
"09/05/2023";"Temperatura media  atura a 1.5m";"15.84";"1";"ºC"
"10/05/2023";"Lluvia";"0.0";"1";"L/m2"
"10/05/2023";"Humedad relativa media a 1.5m";"76";"1";"%"
"10/05/2023";"Temperatura media  atura a 1.5m";"12.29";"1";"ºC"
"11/05/2023";"Lluvia";"0.0";"1";"L/m2"
"11/05/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"11/05/2023";"Temperatura media  atura a 1.5m";"12.51";"1";"ºC"
"12/05/2023";"Lluvia";"0.0";"1";"L/m2"
"12/05/2023";"Humedad relativa media a 1.5m";"77";"1";"%"
