Período de consulta de 01/01/2023 a 31/03/2025
"";"";"Ourense";"";""
"Fecha";"Variable";"Valor";"Código validación";"Unidad"
"09/04/2023";"Lluvia";"0.0";"1";"L/m2"
"09/04/2023";"Humedad relativa media a 1.5m";"59";"1";"%"
"09/04/2023";"Temperatura media  atura a 1.5m";"15.53";"1";"ºC"
"10/04/2023";"Lluvia";"0.0";"1";"L/m2"
"10/04/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"10/04/2023";"Temperatura media  atura a 1.5m";"14.82";"1";"ºC"
"11/04/2023";"Lluvia";"0.0";"1";"L/m2"
"11/04/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"11/04/2023";"Temperatura media  atura a 1.5m";"15.70";"1";"ºC"
"12/04/2023";"Lluvia";"3.0";"1";"L/m2"
"12/04/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"12/04/2023";"Temperatura media  atura a 1.5m";"12.02";"1";"ºC"
"13/04/2023";"Lluvia";"0.6";"1";"L/m2"
"13/04/2023";"Humedad relativa media a 1.5m";"79";"1";"%"
"13/04/2023";"Temperatura media  atura a 1.5m";"9.46";"1";"ºC"
"14/04/2023";"Lluvia";"2.0";"1";"L/m2"
"14/04/2023";"Humedad relativa media a 1.5m";"68";"1";"%"
"14/04/2023";"Temperatura media  atura a 1.5m";"14.67";"1";"ºC"
"15/04/2023";"Lluvia";"0.0";"1";"L/m2"
"15/04/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"15/04/2023";"Temperatura media  atura a 1.5m";"14.13";"1";"ºC"
"16/04/2023";"Lluvia";"0.0";"1";"L/m2"
"16/04/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"16/04/2023";"Temperatura media  atura a 1.5m";"17.23";"1";"ºC"
"17/04/2023";"Lluvia";"0.0";"1";"L/m2"
"17/04/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"17/04/2023";"Temperatura media  atura a 1.5m";"17.93";"1";"ºC"
"18/04/2023";"Lluvia";"0.0";"1";"L/m2"
"18/04/2023";"Humedad relativa media a 1.5m";"48";"1";"%"
"18/04/2023";"Temperatura media  atura a 1.5m";"17.79";"1";"ºC"
"19/04/2023";"Lluvia";"0.0";"1";"L/m2"
"19/04/2023";"Humedad relativa media a 1.5m";"55";"1";"%"
"19/04/2023";"Temperatura media  atura a 1.5m";"16.63";"1";"ºC"
"20/04/2023";"Lluvia";"0.0";"1";"L/m2"
"20/04/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"20/04/2023";"Temperatura media  atura a 1.5m";"15.19";"1";"ºC"
"21/04/2023";"Lluvia";"11.0";"1";"L/m2"
"21/04/2023";"Humedad relativa media a 1.5m";"92";"1";"%"
"21/04/2023";"Temperatura media  atura a 1.5m";"11.43";"1";"ºC"
"22/04/2023";"Lluvia";"0.4";"1";"L/m2"
"22/04/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"22/04/2023";"Temperatura media  atura a 1.5m";"13.93";"1";"ºC"
"23/04/2023";"Lluvia";"3.4";"1";"L/m2"
"23/04/2023";"Humedad relativa media a 1.5m";"83";"1";"%"
"23/04/2023";"Temperatura media  atura a 1.5m";"15.66";"1";"ºC"
"24/04/2023";"Lluvia";"0.0";"1";"L/m2"
"24/04/2023";"Humedad relativa media a 1.5m";"82";"1";"%"
"24/04/2023";"Temperatura media  atura a 1.5m";"16.06";"1";"ºC"
"25/04/2023";"Lluvia";"0.0";"1";"L/m2"
"25/04/2023";"Humedad relativa media a 1.5m";"74";"1";"%"
"25/04/2023";"Temperatura media  atura a 1.5m";"17.15";"1";"ºC"
"26/04/2023";"Lluvia";"0.0";"1";"L/m2"
"26/04/2023";"Humedad relativa media a 1.5m";"70";"1";"%"
"26/04/2023";"Temperatura media  atura a 1.5m";"19.77";"1";"ºC"
"27/04/2023";"Lluvia";"0.0";"1";"L/m2"
"27/04/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"27/04/2023";"Temperatura media  atura a 1.5m";"20.31";"1";"ºC"
"28/04/2023";"Lluvia";"0.0";"1";"L/m2"
"28/04/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"28/04/2023";"Temperatura media  atura a 1.5m";"19.85";"1";"ºC"
"29/04/2023";"Lluvia";"0.0";"1";"L/m2"
"29/04/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"29/04/2023";"Temperatura media  atura a 1.5m";"18.83";"1";"ºC"
"30/04/2023";"Lluvia";"0.0";"1";"L/m2"
"30/04/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"30/04/2023";"Temperatura media  atura a 1.5m";"18.26";"1";"ºC"
"01/05/2023";"Lluvia";"0.0";"1";"L/m2"
"01/05/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"01/05/2023";"Temperatura media  atura a 1.5m";"19.05";"1";"ºC"
"02/05/2023";"Lluvia";"0.0";"1";"L/m2"
"02/05/2023";"Humedad relativa media a 1.5m";"57";"1";"%"
"02/05/2023";"Temperatura media  atura a 1.5m";"21.77";"1";"ºC"
"03/05/2023";"Lluvia";"3.8";"1";"L/m2"
"03/05/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"03/05/2023";"Temperatura media  atura a 1.5m";"18.60";"1";"ºC"
"04/05/2023";"Lluvia";"0.0";"1";"L/m2"
"04/05/2023";"Humedad relativa media a 1.5m";"72";"1";"%"
"04/05/2023";"Temperatura media  atura a 1.5m";"16.69";"1";"ºC"
"05/05/2023";"Lluvia";"0.0";"1";"L/m2"
"05/05/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"05/05/2023";"Temperatura media  atura a 1.5m";"17.20";"1";"ºC"
"06/05/2023";"Lluvia";"14.8";"1";"L/m2"
"06/05/2023";"Humedad relativa media a 1.5m";"71";"1";"%"
"06/05/2023";"Temperatura media  atura a 1.5m";"17.88";"1";"ºC"
"07/05/2023";"Lluvia";"0.0";"1";"L/m2"
"07/05/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"07/05/2023";"Temperatura media  atura a 1.5m";"18.26";"1";"ºC"
"08/05/2023";"Lluvia";"0.0";"1";"L/m2"
"08/05/2023";"Humedad relativa media a 1.5m";"69";"1";"%"
"08/05/2023";"Temperatura media  atura a 1.5m";"18.77";"1";"ºC"
"09/05/2023";"Lluvia";"1.4";"1";"L/m2"
"09/05/2023";"Humedad relativa media a 1.5m";"63";"1";"%"
"09/05/2023";"Temperatura media  atura a 1.5m";"19.29";"1";"ºC"
"10/05/2023";"Lluvia";"0.0";"1";"L/m2"
"10/05/2023";"Humedad relativa media a 1.5m";"65";"1";"%"
"10/05/2023";"Temperatura media  atura a 1.5m";"13.72";"1";"ºC"
"11/05/2023";"Lluvia";"0.0";"1";"L/m2"
"11/05/2023";"Humedad relativa media a 1.5m";"62";"1";"%"
"11/05/2023";"Temperatura media  atura a 1.5m";"14.11";"1";"ºC"
"12/05/2023";"Lluvia";"0.0";"1";"L/m2"
"12/05/2023";"Humedad relativa media a 1.5m";"66";"1";"%"
"12/05/2023";"Temperatura media  atura a 1.5m";"13.22";"1";"ºC"
